scene_id,infile,n_blocks,blocks_coords,frequency_hz,tx_pos,rx_pos,n_traces,mute_ns,merged_outfile,png_file,timestamp
scene_0025,scene_0025.in,3,"(2.882,0.676,3.030,0.847); (2.974,0.708,3.215,0.794); (2.818,0.750,2.979,0.848)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0025_merged.out,,2025-10-15 15:33:27
scene_0026,scene_0026.in,5,"(1.131,0.610,1.335,0.793); (1.082,0.540,1.220,0.730); (0.962,0.699,1.209,0.886); (1.071,0.613,1.139,0.754); (0.965,0.558,1.193,0.739)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0026_merged.out,,2025-10-15 15:34:13
scene_0027,scene_0027.in,2,"(1.605,0.800,1.743,0.937); (1.539,0.677,1.749,0.866)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0027_merged.out,,2025-10-15 15:44:18
scene_0028,scene_0028.in,4,"(4.000,0.409,4.177,0.559); (4.148,0.478,4.227,0.615); (4.019,0.544,4.201,0.682); (4.045,0.490,4.245,0.551)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0028_merged.out,,2025-10-15 15:45:04
scene_0029,scene_0029.in,3,"(3.346,0.731,3.401,0.879); (3.398,0.768,3.453,0.844); (3.394,0.699,3.536,0.890)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0029_merged.out,,2025-10-15 15:55:18
scene_0030,scene_0030.in,3,"(1.274,0.620,1.376,0.727); (1.202,0.444,1.450,0.631); (1.052,0.574,1.280,0.638)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0030_merged.out,,2025-10-15 15:56:04
scene_0031,scene_0031.in,4,"(3.677,0.556,3.891,0.747); (3.717,0.427,3.888,0.587); (3.813,0.557,4.042,0.740); (3.826,0.567,3.884,0.742)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0031_merged.out,,2025-10-15 16:06:01
scene_0032,scene_0032.in,3,"(1.957,0.440,2.059,0.573); (1.927,0.525,2.026,0.720); (1.888,0.431,1.958,0.538)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0032_merged.out,,2025-10-15 16:06:43
scene_0033,scene_0033.in,2,"(1.672,0.479,1.744,0.610); (1.630,0.559,1.730,0.647)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0033_merged.out,,2025-10-15 16:16:49
scene_0034,scene_0034.in,3,"(2.750,0.777,2.971,0.944); (2.672,0.686,2.812,0.875); (2.683,0.866,2.871,0.931)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0034_merged.out,,2025-10-15 16:17:30
scene_0035,scene_0035.in,2,"(1.622,0.373,1.815,0.473); (1.754,0.437,1.967,0.573)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0035_merged.out,,2025-10-15 16:27:30
scene_0036,scene_0036.in,3,"(2.467,0.745,2.684,0.926); (2.409,0.830,2.475,0.887)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0036_merged.out,,2025-10-15 16:28:11
scene_0037,scene_0037.in,5,"(3.675,0.386,3.817,0.564); (3.776,0.466,3.881,0.643); (3.779,0.374,3.890,0.554); (3.758,0.505,3.926,0.574); (3.750,0.451,3.999,0.628)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0037_merged.out,,2025-10-15 16:38:26
scene_0038,scene_0038.in,2,"(2.383,0.375,2.575,0.558); (2.276,0.426,2.445,0.626)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0038_merged.out,,2025-10-15 16:39:09
scene_0039,scene_0039.in,4,"(1.255,0.861,1.374,0.919); (1.240,0.694,1.400,0.875); (1.204,0.676,1.310,0.868); (1.128,0.770,1.291,0.891)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0039_merged.out,,2025-10-15 16:49:15
scene_0040,scene_0040.in,3,"(3.602,0.756,3.663,0.812); (3.558,0.685,3.619,0.840); (3.556,0.732,3.649,0.850)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0040_merged.out,,2025-10-15 16:49:55
scene_0041,scene_0041.in,2,"(4.147,0.542,4.390,0.708); (3.971,0.531,4.192,0.644)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0041_merged.out,,2025-10-15 17:00:03
scene_0042,scene_0042.in,5,"(0.944,0.432,1.131,0.607); (1.054,0.353,1.301,0.433); (1.111,0.408,1.250,0.473); (0.978,0.420,1.180,0.546); (0.990,0.429,1.201,0.497)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0042_merged.out,,2025-10-15 17:00:45
scene_0043,scene_0043.in,4,"(1.416,0.866,1.504,0.939); (1.258,0.751,1.479,0.934); (1.402,0.753,1.473,0.911)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0043_merged.out,,2025-10-15 17:10:55
scene_0044,scene_0044.in,1,"(3.622,0.870,3.832,0.939)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0044_merged.out,,2025-10-15 17:11:33
scene_0045,scene_0045.in,3,"(3.639,0.709,3.731,0.772); (3.639,0.704,3.834,0.802); (3.540,0.587,3.757,0.715)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0045_merged.out,,2025-10-15 17:21:40
scene_0046,scene_0046.in,3,"(0.897,0.471,0.975,0.629); (0.749,0.627,0.904,0.691); (0.670,0.538,0.906,0.719)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0046_merged.out,,2025-10-15 17:22:22
scene_0047,scene_0047.in,1,"(2.096,0.374,2.236,0.519)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0047_merged.out,,2025-10-15 17:32:02
scene_0048,scene_0048.in,5,"(2.556,0.428,2.671,0.522); (2.588,0.407,2.664,0.465); (2.606,0.352,2.815,0.519); (2.504,0.407,2.665,0.487); (2.436,0.391,2.625,0.567)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0048_merged.out,,2025-10-15 17:32:46
scene_0049,scene_0049.in,5,"(3.875,0.785,4.105,0.866); (4.007,0.751,4.069,0.940); (3.899,0.767,4.138,0.864); (4.039,0.718,4.193,0.866); (4.060,0.666,4.230,0.828)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0049_merged.out,,2025-10-15 17:42:46
scene_0050,scene_0050.in,2,"(1.721,0.704,1.775,0.835); (1.639,0.791,1.823,0.888)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0050_merged.out,,2025-10-15 17:43:29
scene_0051,scene_0051.in,3,"(0.805,0.594,1.027,0.694); (0.725,0.590,0.812,0.729); (0.781,0.562,0.880,0.706)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0051_merged.out,,2025-10-15 17:53:23
scene_0052,scene_0052.in,5,"(2.736,0.350,2.878,0.523); (2.825,0.477,3.074,0.615); (2.793,0.497,2.843,0.633); (2.841,0.472,2.995,0.652); (2.841,0.456,2.981,0.512)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0052_merged.out,,2025-10-15 17:54:06
scene_0053,scene_0053.in,5,"(3.497,0.519,3.734,0.639); (3.541,0.638,3.704,0.798); (3.654,0.572,3.742,0.737); (3.633,0.623,3.741,0.818); (3.683,0.632,3.855,0.810)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0053_merged.out,,2025-10-15 18:04:18
scene_0054,scene_0054.in,2,"(4.347,0.443,4.492,0.593); (4.322,0.585,4.468,0.752)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0054_merged.out,,2025-10-15 18:04:57
scene_0055,scene_0055.in,3,"(1.720,0.767,1.954,0.946); (1.596,0.779,1.743,0.948); (1.728,0.860,1.905,0.929)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0055_merged.out,,2025-10-15 18:15:12
scene_0056,scene_0056.in,3,"(2.106,0.604,2.327,0.778); (2.191,0.767,2.320,0.950); (1.952,0.734,2.198,0.876)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0056_merged.out,,2025-10-15 18:15:52
scene_0057,scene_0057.in,5,"(2.079,0.739,2.284,0.827); (2.259,0.691,2.390,0.758); (2.156,0.749,2.373,0.819); (2.110,0.727,2.358,0.799); (2.279,0.733,2.414,0.840)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0057_merged.out,,2025-10-15 18:26:01
scene_0058,scene_0058.in,4,"(2.673,0.380,2.804,0.548); (2.799,0.438,2.982,0.605); (2.774,0.455,2.892,0.535); (2.787,0.432,2.949,0.555)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0058_merged.out,,2025-10-15 18:26:38
scene_0059,scene_0059.in,4,"(1.995,0.657,2.194,0.788); (1.854,0.714,2.023,0.893); (1.940,0.585,2.174,0.773); (1.908,0.598,2.126,0.773)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0059_merged.out,,2025-10-15 18:36:42
scene_0060,scene_0060.in,1,"(0.701,0.636,0.798,0.751)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0060_merged.out,,2025-10-15 18:37:20
scene_0061,scene_0061.in,4,"(0.559,0.602,0.689,0.685); (0.541,0.636,0.789,0.745); (0.669,0.602,0.802,0.769); (0.658,0.508,0.758,0.682)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0061_merged.out,,2025-10-15 18:47:28
scene_0062,scene_0062.in,2,"(0.516,0.536,0.675,0.712); (0.613,0.473,0.759,0.652)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0062_merged.out,,2025-10-15 18:48:14
scene_0063,scene_0063.in,5,"(0.998,0.748,1.116,0.877); (1.006,0.737,1.070,0.791); (0.814,0.691,1.020,0.858); (0.870,0.557,1.058,0.753)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0063_merged.out,,2025-10-15 18:58:18
scene_0064,scene_0064.in,4,"(1.279,0.824,1.477,0.880); (1.166,0.818,1.380,0.942); (1.358,0.774,1.476,0.857); (1.273,0.852,1.411,0.935)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0064_merged.out,,2025-10-15 18:59:04
scene_0065,scene_0065.in,3,"(3.243,0.723,3.380,0.812); (3.198,0.566,3.294,0.742); (3.162,0.620,3.392,0.785)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0065_merged.out,,2025-10-15 19:09:06
scene_0066,scene_0066.in,2,"(1.838,0.738,2.002,0.830); (1.785,0.680,1.892,0.868)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0066_merged.out,,2025-10-15 19:09:52
scene_0067,scene_0067.in,5,"(3.710,0.729,3.783,0.789); (3.618,0.652,3.715,0.746); (3.603,0.684,3.767,0.778); (3.652,0.644,3.844,0.759); (3.628,0.666,3.742,0.777)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0067_merged.out,,2025-10-15 19:20:01
scene_0068,scene_0068.in,1,"(1.248,0.629,1.466,0.792)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0068_merged.out,,2025-10-15 19:20:45
scene_0069,scene_0069.in,5,"(4.363,0.470,4.425,0.545); (4.252,0.532,4.477,0.702); (4.285,0.499,4.413,0.617)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0069_merged.out,,2025-10-15 19:30:52
scene_0070,scene_0070.in,1,"(0.961,0.778,1.159,0.902)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0070_merged.out,,2025-10-15 19:31:35
scene_0071,scene_0071.in,5,"(0.906,0.372,0.973,0.557); (0.878,0.499,0.980,0.582); (0.866,0.521,0.942,0.632); (0.661,0.409,0.910,0.585); (0.720,0.517,0.929,0.651)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0071_merged.out,,2025-10-15 19:41:42
scene_0072,scene_0072.in,4,"(2.011,0.758,2.250,0.842); (1.834,0.653,2.061,0.781); (2.030,0.679,2.280,0.828); (2.037,0.747,2.189,0.909)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0072_merged.out,,2025-10-15 19:42:22
scene_0073,scene_0073.in,2,"(0.575,0.827,0.786,0.881); (0.752,0.818,0.928,0.947)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0073_merged.out,,2025-10-15 19:52:31
scene_0074,scene_0074.in,3,"(1.805,0.603,1.923,0.713); (1.688,0.564,1.831,0.728); (1.804,0.582,1.962,0.753)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0074_merged.out,,2025-10-15 19:53:13
scene_0075,scene_0075.in,1,"(1.305,0.501,1.532,0.620)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0075_merged.out,,2025-10-15 20:03:11
scene_0076,scene_0076.in,1,"(1.799,0.686,2.040,0.882)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0076_merged.out,,2025-10-15 20:03:52
scene_0077,scene_0077.in,2,"(1.694,0.708,1.830,0.769); (1.614,0.761,1.861,0.914)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0077_merged.out,,2025-10-15 20:13:56
scene_0078,scene_0078.in,1,"(3.273,0.839,3.507,0.891)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0078_merged.out,,2025-10-15 20:14:32
scene_0079,scene_0079.in,3,"(1.682,0.371,1.849,0.498); (1.746,0.408,1.826,0.467); (1.820,0.443,1.938,0.597)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0079_merged.out,,2025-10-15 20:24:39
scene_0080,scene_0080.in,2,"(2.035,0.546,2.195,0.676); (1.976,0.648,2.216,0.756)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",400,5.0,scene_0080_merged.out,,2025-10-15 20:25:16
