File Name,Accuracy Ratio
0000.npy,0.2283
0001.npy,0.6894
0010.npy,0.6569
0011.npy,0.7341
0100.npy,0.6677
0101.npy,0.7264
0110.npy,0.7462
0111.npy,0.6725
1000.npy,0.6142
1001.npy,0.6521
1010.npy,0.6837
1011.npy,0.4758
1100.npy,0.7219
1101.npy,0.5552
1110.npy,0.6352
1111.npy,0.5466
