File Name,Accuracy Ratio
0000.npy,0.7934
0001.npy,0.9978
0010.npy,0.9981
0011.npy,0.9962
0100.npy,0.9965
0101.npy,0.9952
0110.npy,0.9974
0111.npy,0.9962
1000.npy,0.9952
1001.npy,0.9841
1010.npy,0.9936
1011.npy,0.9745
1100.npy,0.9930
1101.npy,0.9805
1110.npy,0.9904
1111.npy,0.9914
