Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0000_v0,0000,0,7.2602,0.007320,85
simulation_4spheres_0000_v1,0000,1,7.9258,0.006102,85
simulation_4spheres_0000_v2,0000,2,4.6163,0.014201,85
simulation_4spheres_0000_v3,0000,3,5.0633,0.006020,85
simulation_4spheres_0000_v4,0000,4,6.6596,0.004061,85
simulation_4spheres_0000_v5,0000,5,6.6874,0.011873,85
simulation_4spheres_0000_v6,0000,6,5.4021,0.010808,85
simulation_4spheres_0000_v7,0000,7,5.1904,0.007428,85
simulation_4spheres_0000_v8,0000,8,6.9855,0.009099,85
simulation_4spheres_0000_v9,0000,9,4.4541,0.016858,85
simulation_4spheres_0000_v10,0000,10,6.4938,0.009242,85
simulation_4spheres_0000_v11,0000,11,3.2212,0.002359,85
simulation_4spheres_0000_v12,0000,12,7.0338,0.014398,85
simulation_4spheres_0000_v13,0000,13,4.8046,0.012932,85
simulation_4spheres_0000_v14,0000,14,5.9260,0.017405,85
simulation_4spheres_0000_v15,0000,15,7.6130,0.010324,85
simulation_4spheres_0000_v16,0000,16,7.7057,0.007220,85
simulation_4spheres_0000_v17,0000,17,8.2353,0.009540,85
simulation_4spheres_0000_v18,0000,18,7.4434,0.003568,85
simulation_4spheres_0000_v19,0000,19,8.7489,0.010300,85
simulation_4spheres_0000_v20,0000,20,6.9948,0.002120,85
simulation_4spheres_0000_v21,0000,21,5.8481,0.007788,85
simulation_4spheres_0000_v22,0000,22,5.0105,0.002950,85
simulation_4spheres_0000_v23,0000,23,8.6695,0.012213,85
simulation_4spheres_0000_v24,0000,24,3.4793,0.011355,85
simulation_4spheres_0000_v25,0000,25,6.1318,0.009903,85
simulation_4spheres_0000_v26,0000,26,8.7358,0.015409,85
simulation_4spheres_0000_v27,0000,27,4.7504,0.014666,85
simulation_4spheres_0000_v28,0000,28,7.6852,0.017327,85
simulation_4spheres_0000_v29,0000,29,6.7352,0.017174,85
simulation_4spheres_0000_v30,0000,30,4.2584,0.013090,85
simulation_4spheres_0000_v31,0000,31,5.3096,0.011642,85
simulation_4spheres_0000_v32,0000,32,8.8252,0.001411,85
simulation_4spheres_0000_v33,0000,33,7.9185,0.005491,85
simulation_4spheres_0000_v34,0000,34,5.4775,0.015928,85
simulation_4spheres_0000_v35,0000,35,6.5754,0.003066,85
simulation_4spheres_0000_v36,0000,36,6.1973,0.001652,85
simulation_4spheres_0000_v37,0000,37,3.7574,0.009220,85
simulation_4spheres_0000_v38,0000,38,8.4856,0.012252,85
simulation_4spheres_0000_v39,0000,39,4.3444,0.013395,85
simulation_4spheres_0000_v40,0000,40,4.6495,0.007192,85
simulation_4spheres_0000_v41,0000,41,6.3642,0.010357,85
simulation_4spheres_0000_v42,0000,42,4.8117,0.008798,85
simulation_4spheres_0000_v43,0000,43,3.6252,0.014818,85
simulation_4spheres_0000_v44,0000,44,4.8434,0.003222,85
simulation_4spheres_0000_v45,0000,45,6.4733,0.012621,85
simulation_4spheres_0000_v46,0000,46,7.1057,0.008351,85
simulation_4spheres_0000_v47,0000,47,5.9826,0.009066,85
simulation_4spheres_0000_v48,0000,48,5.8348,0.016486,85
simulation_4spheres_0000_v49,0000,49,6.8354,0.013717,85
simulation_4spheres_0001_v0,0001,0,3.1045,0.005860,85
simulation_4spheres_0001_v1,0001,1,5.0549,0.013345,85
simulation_4spheres_0001_v2,0001,2,7.4749,0.006277,85
simulation_4spheres_0001_v3,0001,3,6.8324,0.004896,85
simulation_4spheres_0001_v4,0001,4,7.9151,0.014743,85
simulation_4spheres_0001_v5,0001,5,6.0838,0.009591,85
simulation_4spheres_0001_v6,0001,6,5.9495,0.006165,85
simulation_4spheres_0001_v7,0001,7,7.7263,0.004234,85
simulation_4spheres_0001_v8,0001,8,3.9595,0.004823,85
simulation_4spheres_0001_v9,0001,9,7.8594,0.007397,85
simulation_4spheres_0001_v10,0001,10,4.5069,0.001560,85
simulation_4spheres_0001_v11,0001,11,8.5896,0.004664,85
simulation_4spheres_0001_v12,0001,12,7.0730,0.005080,85
simulation_4spheres_0001_v13,0001,13,6.5900,0.016172,85
simulation_4spheres_0001_v14,0001,14,3.1725,0.018617,85
simulation_4spheres_0001_v15,0001,15,6.6585,0.007399,85
simulation_4spheres_0001_v16,0001,16,6.6302,0.003319,85
simulation_4spheres_0001_v17,0001,17,3.5004,0.016212,85
simulation_4spheres_0001_v18,0001,18,8.0739,0.008508,85
simulation_4spheres_0001_v19,0001,19,3.8454,0.018220,85
simulation_4spheres_0001_v20,0001,20,7.6839,0.010827,85
simulation_4spheres_0001_v21,0001,21,5.0626,0.005464,85
simulation_4spheres_0001_v22,0001,22,8.3360,0.019765,85
simulation_4spheres_0001_v23,0001,23,4.4707,0.013125,85
simulation_4spheres_0001_v24,0001,24,5.5892,0.017745,85
simulation_4spheres_0001_v25,0001,25,4.5006,0.013107,85
simulation_4spheres_0001_v26,0001,26,8.9602,0.018341,85
simulation_4spheres_0001_v27,0001,27,3.8496,0.019678,85
simulation_4spheres_0001_v28,0001,28,5.9659,0.004623,85
simulation_4spheres_0001_v29,0001,29,5.1136,0.008215,85
simulation_4spheres_0001_v30,0001,30,8.1233,0.019138,85
simulation_4spheres_0001_v31,0001,31,7.7843,0.008372,85
simulation_4spheres_0001_v32,0001,32,3.4395,0.004516,85
simulation_4spheres_0001_v33,0001,33,5.4485,0.001559,85
simulation_4spheres_0001_v34,0001,34,4.2274,0.008637,85
simulation_4spheres_0001_v35,0001,35,8.3480,0.012038,85
simulation_4spheres_0001_v36,0001,36,4.3746,0.008648,85
simulation_4spheres_0001_v37,0001,37,6.7988,0.010718,85
simulation_4spheres_0001_v38,0001,38,6.2602,0.019338,85
simulation_4spheres_0001_v39,0001,39,3.9753,0.008041,85
simulation_4spheres_0001_v40,0001,40,6.5435,0.008473,85
simulation_4spheres_0001_v41,0001,41,7.3573,0.016192,85
simulation_4spheres_0001_v42,0001,42,4.5450,0.010047,85
simulation_4spheres_0001_v43,0001,43,8.3872,0.012641,85
simulation_4spheres_0001_v44,0001,44,8.9718,0.014149,85
simulation_4spheres_0001_v45,0001,45,3.1310,0.001394,85
simulation_4spheres_0001_v46,0001,46,7.5126,0.001477,85
simulation_4spheres_0001_v47,0001,47,8.9818,0.001013,85
simulation_4spheres_0001_v48,0001,48,8.0440,0.012280,85
simulation_4spheres_0001_v49,0001,49,5.7899,0.013151,85
simulation_4spheres_0010_v0,0010,0,3.2836,0.011223,85
simulation_4spheres_0010_v1,0010,1,3.8291,0.002980,85
simulation_4spheres_0010_v2,0010,2,5.4478,0.015724,85
simulation_4spheres_0010_v3,0010,3,4.5258,0.011862,85
simulation_4spheres_0010_v4,0010,4,4.9826,0.004093,85
