Filename,Case_Bits,Variation_ID,Soil_Er,Soil_Cond,N_Traces
simulation_4spheres_0001_v36,0001,36,3.9814,0.014107,85
simulation_4spheres_0001_v37,0001,37,6.8046,0.004850,85
simulation_4spheres_0001_v38,0001,38,3.3438,0.009120,85
simulation_4spheres_0001_v39,0001,39,8.2540,0.010746,85
simulation_4spheres_0001_v40,0001,40,3.6409,0.002610,85
simulation_4spheres_0001_v41,0001,41,3.1557,0.014698,85
simulation_4spheres_0001_v42,0001,42,3.9499,0.014311,85
simulation_4spheres_0001_v43,0001,43,5.3094,0.009715,85
simulation_4spheres_0001_v44,0001,44,5.6737,0.016908,85
simulation_4spheres_0001_v45,0001,45,7.0235,0.007918,85
simulation_4spheres_0001_v46,0001,46,7.7650,0.011515,85
simulation_4spheres_0001_v47,0001,47,8.1180,0.009960,85
simulation_4spheres_0001_v48,0001,48,8.0379,0.018607,85
simulation_4spheres_0001_v49,0001,49,8.3206,0.003299,85
simulation_4spheres_0010_v0,0010,0,5.7006,0.008648,85
simulation_4spheres_0010_v1,0010,1,8.3417,0.007616,85
simulation_4spheres_0010_v2,0010,2,8.1328,0.002296,85
simulation_4spheres_0010_v3,0010,3,6.0023,0.006598,85
simulation_4spheres_0010_v4,0010,4,5.9470,0.012013,85
simulation_4spheres_0010_v5,0010,5,4.1172,0.005984,85
simulation_4spheres_0010_v6,0010,6,6.6769,0.008423,85
simulation_4spheres_0010_v7,0010,7,6.0011,0.019876,85
simulation_4spheres_0010_v8,0010,8,4.9524,0.018968,85
simulation_4spheres_0010_v9,0010,9,8.0130,0.012429,85
simulation_4spheres_0010_v10,0010,10,4.1107,0.019251,85
simulation_4spheres_0010_v11,0010,11,3.2675,0.019148,85
simulation_4spheres_0010_v12,0010,12,4.1107,0.001639,85
simulation_4spheres_0010_v13,0010,13,5.8896,0.010280,85
simulation_4spheres_0010_v14,0010,14,5.6887,0.002947,85
simulation_4spheres_0010_v15,0010,15,6.3488,0.015555,85
simulation_4spheres_0010_v16,0010,16,4.5967,0.010856,85
