scene_id,infile,n_blocks,blocks_coords,frequency_hz,tx_pos,rx_pos,n_traces,mute_ns,merged_outfile,png_file,timestamp
scene_0002,scene_0002.in,1,"(1.820,0.374,1.946,0.509)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0002_merged.out,,2025-11-26 00:03:09
scene_0001,scene_0001.in,1,"(1.539,0.714,1.642,0.880)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0001_merged.out,,2025-11-26 00:03:36
scene_0003,scene_0003.in,2,"(1.452,0.351,1.569,0.451); (1.444,0.369,1.533,0.451)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0003_merged.out,,2025-11-26 00:09:15
scene_0004,scene_0004.in,2,"(0.543,0.620,0.608,0.809); (0.539,0.546,0.700,0.743)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0004_merged.out,,2025-11-26 00:09:42
scene_0005,scene_0005.in,4,"(3.591,0.437,3.720,0.562); (3.463,0.435,3.636,0.505); (3.519,0.421,3.705,0.576); (3.635,0.443,3.733,0.532)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0005_merged.out,,2025-11-26 00:15:12
scene_0006,scene_0006.in,2,"(1.107,0.590,1.291,0.738); (1.283,0.501,1.421,0.645)",4e8,"(0.30, 0.10, 0)","(0.34, 0.10, 0)",200,6.0,scene_0006_merged.out,,2025-11-26 00:15:57
